Locus type 	JGI3.1 	MpTak1_v5.1 	MpTak1_v5.1r2 	MpTak_v6.1 	MpTak_v6.1r2 	MpTak_v7.1 	Status
mRNA 	Mapoly0029s0117 	Mp1g01300 	Mp1g01300 	Mp1g01300 	Mp1g01300 	Mp1g01300 	
mRNA 	Mapoly0029s0116 	Mp1g01310 	- 	- 	- 	- 	
mRNA 	Mapoly0029s0115 	Mp1g01320 	Mp1g01320 	Mp1g01320 	Mp1g01320 	Mp1g01320 	
mRNA 	Mapoly0029s0114 	Mp1g01330 	Mp1g01330 	Mp1g01330 	Mp1g01330 	Mp1g01330 	
mRNA 	Mapoly0029s0113 	Mp1g01340 	Mp1g01340 	Mp1g01340 	Mp1g01340 	Mp1g01340 	
mRNA 	Mapoly0029s0112 	Mp1g01350 	Mp1g01350 	Mp1g01350 	Mp1g01350 	Mp1g01350 	
mRNA 	Mapoly0029s0111 	Mp1g01360 	Mp1g01360 	Mp1g01360 	Mp1g01360 	Mp1g01360 	
mRNA 	Mapoly0029s0110 	Mp1g01370 	Mp1g01370 	Mp1g01370 	Mp1g01370 	Mp1g01370 	
mRNA 	Mapoly0029s0109 	Mp1g01380 	Mp1g01380 	Mp1g01380 	Mp1g01380 	Mp1g01380 	
mRNA 	Mapoly0029s0108 	Mp1g01390 	Mp1g01390 	Mp1g01390 	Mp1g01390 	Mp1g01390 	
mRNA 	Mapoly0029s0107 	Mp1g01400 	Mp1g01400 	Mp1g01400 	Mp1g01400 	Mp1g01400 	
mRNA 	Mapoly0029s0105 	Mp1g01410 	Mp1g01410 	Mp1g01410 	Mp1g01410 	Mp1g01410 	
mRNA 	Mapoly0029s0106 	Mp1g01420 	Mp1g01420 	Mp1g01420 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0104 	Mp1g01430 	Mp1g01430 	Mp1g01430 	Mp1g01430 	Mp1g01430 	
mRNA 	Mapoly0029s0103 	Mp1g01440 	Mp1g01440 	Mp1g01440 	Mp1g01440 	Mp1g01440 	
mRNA 	Mapoly0029s0102 	Mp1g01450 	Mp1g01450 	Mp1g01450 	Mp1g01450 	Mp1g01450 	
mRNA 	Mapoly0029s0101 	Mp1g01460 	Mp1g01460 	Mp1g01460 	Mp1g01460 	Mp1g01460 	
mRNA 	Mapoly0029s0100 	Mp1g01470 	Mp1g01470 	Mp1g01470 	Mp1g01470 	Mp1g01470 	
mRNA 	Mapoly0029s0099 	Mp1g01480 	Mp1g01480 	Mp1g01480 	Mp1g01480 	Mp1g01480 	
mRNA 	Mapoly0029s0098 	Mp1g01490 	Mp1g01490 	Mp1g01490 	Mp1g01490 	Mp1g01490 	
mRNA 	Mapoly0029s0097 	Mp1g01500 	Mp1g01500 	Mp1g01500 	Mp1g01500 	Mp1g01500 	
mRNA 	Mapoly0029s0096 	Mp1g01510 	Mp1g01510 	Mp1g01510 	Mp1g01510 	Mp1g01510 	
mRNA 	Mapoly0029s0095 	Mp1g01520 	Mp1g01520 	Mp1g01520 	Mp1g01520 	Mp1g01520 	
mRNA 	Mapoly0029s0094 	Mp1g01530 	Mp1g01530 	Mp1g01530 	Mp1g01530 	Mp1g01530 	
mRNA 	Mapoly0029s0093 	Mp1g01540 	Mp1g01540 	Mp1g01540 	Mp1g01540 	Mp1g01540 	
mRNA 	Mapoly0029s0092 	Mp1g01550 	Mp1g01550 	Mp1g01550 	Mp1g01550 	Mp1g01550 	
mRNA 	Mapoly0029s0091 	Mp1g01560 	Mp1g01560 	Mp1g01560 	Mp1g01560 	Mp1g01560 	
mRNA 	Mapoly0029s0090 	Mp1g01570 	Mp1g01570 	Mp1g01570 	Mp1g01570 	Mp1g01570 	
mRNA 	Mapoly0029s0089 	Mp1g01580 	Mp1g01580 	Mp1g01580 	Mp1g01580 	Mp1g01580 	
mRNA 	Mapoly0029s0088 	Mp1g01590 	Mp1g01590 	Mp1g01590 	Mp1g01590 	Mp1g01590 	
mRNA 	Mapoly0029s0087 	Mp1g01600 	Mp1g01600 	Mp1g01600 	Mp1g01600 	Mp1g01600 	
mRNA 	Mapoly0029s0085 	Mp1g01610 	Mp1g01610 	Mp1g01610 	Mp1g01610 	Mp1g01610 	
mRNA 	Mapoly0029s0084 	Mp1g01620 	Mp1g01620 	Mp1g01620 	Mp1g01620 	Mp1g01620 	
